route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
vilnius_ferry_L1,vilnius,"L1","Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",,4,https://www.stops.lt/vilnius/index.html#vilnius/ferry/l1,00A59B,FFFFFF,9900013
vilnius_nightbus_N1,vilnius,"N1","Centras–Antakalnis–Saulėtekis",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n1,000000,FFFFFF,5900015
vilnius_nightbus_N2,vilnius,"N2","Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n2,000000,FFFFFF,5900015
vilnius_nightbus_N3,vilnius,"N3","Centras–Žirmūnai–Baltupiai–Santariškės",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n3,000000,FFFFFF,5900015
vilnius_nightbus_N4,vilnius,"N4","Centras–Kalvarijų–S. Stanevičiaus g.–Gabijos progimnazija",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n4,000000,FFFFFF,5900015
vilnius_nightbus_N5,vilnius,"N5","Centras–Markučiai–Pavilnys–Naujoji Vilnia (Apylanka)",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n5,000000,FFFFFF,5900015
vilnius_nightbus_N6,vilnius,"N6","Centras–Šeškinė–Pašilaičiai–Bajorų kalvos",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n6,000000,FFFFFF,5900015
vilnius_nightbus_N7,vilnius,"N7","Centras–Žvėrynas–Justiniškės–Perkūnkiemis–Gabijos progimnazija",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n7,000000,FFFFFF,5900015
vilnius_nightbus_N8,vilnius,"N8","Europos aikštė–Centras–Stotis–Naujininkai–Oro uostas",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n8,000000,FFFFFF,5900015
vilnius_nightbus_N9,vilnius,"N9","Centras–Naujamiestis–Žemieji Paneriai–Grigiškės (Apylanka per st. MO muziejus)",,3,https://www.stops.lt/vilnius/index.html#vilnius/nightbus/n9,000000,FFFFFF,5900015
vilnius_bus_1,vilnius,"1","Stotis–Vikingų g.–Oro uostas–Rodūnios sodai",,3,https://www.stops.lt/vilnius/index.html#vilnius/bus/1,0073AC,FFFFFF,2000100
vilnius_expressbus_1G,vilnius,"1G","Stotis–Kalvarijų g.–Santariškės",,3,https://www.stops.lt/vilnius/index.html#vilnius/expressbus/1g,008000,FFFFFF,1000108
vilnius_bus_2,vilnius,"2","Stotis–Liepkalnio–Vikingų g.–Oro uostas",,3,https://www.stops.lt/vilnius/index.html#vilnius/bus/2,0073AC,FFFFFF,2000200
