service_id,date,exception_type
498794,20270406,2
498794,20270101,2
498794,20270216,2
498794,20270311,2
498794,20270501,2
498794,20270624,2
498794,20270706,2
498794,20261101,2
498794,20261102,2
498794,20261224,2
498794,20261225,2
498794,20261226,2
498795,20270406,1
498795,20270101,1
498795,20270216,1
498795,20270311,1
498795,20270501,1
498795,20270624,1
498795,20270706,1
498795,20261101,1
498795,20261102,1
498795,20261224,1
498795,20261225,1
498795,20261226,1
505776,20270406,2
505776,20270101,2
505776,20270216,2
505776,20270311,2
505776,20270501,2
505776,20270624,2
505776,20270706,2
505776,20261101,2
505776,20261102,2
505776,20261224,2
505776,20261225,2
505776,20261226,2
505777,20270406,1
505777,20270101,1
505777,20270216,1
505777,20270311,1
505777,20270501,1
505777,20270624,1
505777,20270706,1
505777,20261101,1
505777,20261102,1
505777,20261224,1
505777,20261225,1
505777,20261226,1
501751,20270406,2
501751,20270101,2
501751,20270216,2
501751,20270311,2
501751,20270501,2
501751,20270624,2
501751,20270706,2
501751,20261101,2
501751,20261102,2
501751,20261224,2
501751,20261225,2
501751,20261226,2
501752,20270406,2
501752,20270101,2
501752,20270216,2
501752,20270311,2
501752,20270501,2
501752,20270624,2
501752,20270706,2
501752,20261101,2
501752,20261102,2
501752,20261224,2
501752,20261225,2
501752,20261226,2
498986,20270406,1
498986,20270101,1
498986,20270216,1
498986,20270311,1
498986,20270501,1
498986,20270624,1
498986,20270706,1
498986,20261101,1
498986,20261102,1
498986,20261224,1
498986,20261225,1
498986,20261226,1
499073,20270406,2
499073,20270101,2
499073,20270216,2
499073,20270311,2
499073,20270501,2
499073,20270624,2
499073,20270706,2
499073,20261101,2
499073,20261102,2
499073,20261224,2
499073,20261225,2
499073,20261226,2
499074,20270406,1
499074,20270101,1
499074,20270216,1
499074,20270311,1
499074,20270501,1
499074,20270624,1
499074,20270706,1
499074,20261101,1
499074,20261102,1
499074,20261224,1
499074,20261225,1
499074,20261226,1
499075,20270406,2
499075,20270101,2
499075,20270216,2
499075,20270311,2
499075,20270501,2
499075,20270624,2
499075,20270706,2
499075,20261101,2
499075,20261102,2
499075,20261224,2
499075,20261225,2
499075,20261226,2
498987,20270406,2
498987,20270101,2
498987,20270216,2
498987,20270311,2
498987,20270501,2
498987,20270624,2
498987,20270706,2
498987,20261101,2
498987,20261102,2
498987,20261224,2
498987,20261225,2
498987,20261226,2
498988,20270406,1
498988,20270101,1
498988,20270216,1
498988,20270311,1
498988,20270501,1
498988,20270624,1
498988,20270706,1
498988,20261101,1
498988,20261102,1
498988,20261224,1
498988,20261225,1
498988,20261226,1
499076,20270406,2
499076,20270101,2
499076,20270216,2
499076,20270311,2
499076,20270501,2
499076,20270624,2
499076,20270706,2
499076,20261101,2
499076,20261102,2
499076,20261224,2
499076,20261225,2
499076,20261226,2
499077,20270406,1
499077,20270101,1
499077,20270216,1
499077,20270311,1
499077,20270501,1
499077,20270624,1
499077,20270706,1
499077,20261101,1
499077,20261102,1
499077,20261224,1
499077,20261225,1
499077,20261226,1
504177,20270406,2
504177,20270101,2
504177,20270216,2
504177,20270311,2
504177,20270501,2
504177,20270624,2
504177,20270706,2
504177,20261101,2
504177,20261102,2
504177,20261224,2
504177,20261225,2
504177,20261226,2
504178,20270406,1
504178,20270101,1
504178,20270216,1
504178,20270311,1
504178,20270501,1
504178,20270624,1
504178,20270706,1
504178,20261101,1
504178,20261102,1
504178,20261224,1
504178,20261225,1
504178,20261226,1
498990,20270406,1
498990,20270101,1
498990,20270216,1
498990,20270311,1
498990,20270501,1
498990,20270624,1
498990,20270706,1
498990,20261101,1
498990,20261102,1
498990,20261224,1
498990,20261225,1
498990,20261226,1
498792,20270406,2
498792,20270101,2
498792,20270216,2
498792,20270311,2
498792,20270501,2
498792,20270624,2
498792,20270706,2
498792,20261101,2
498792,20261102,2
498792,20261224,2
498792,20261225,2
498792,20261226,2
498793,20270406,1
498793,20270101,1
498793,20270216,1
498793,20270311,1
498793,20270501,1
498793,20270624,1
498793,20270706,1
498793,20261101,1
498793,20261102,1
498793,20261224,1
498793,20261225,1
498793,20261226,1
498991,20270406,2
498991,20270101,2
498991,20270216,2
498991,20270311,2
498991,20270501,2
498991,20270624,2
498991,20270706,2
498991,20261101,2
498991,20261102,2
498991,20261224,2
498991,20261225,2
498991,20261226,2
498992,20270406,1
498992,20270101,1
498992,20270216,1
498992,20270311,1
498992,20270501,1
498992,20270624,1
498992,20270706,1
498992,20261101,1
498992,20261102,1
498992,20261224,1
498992,20261225,1
498992,20261226,1
500919,20270406,2
500919,20270101,2
500919,20270216,2
500919,20270311,2
500919,20270501,2
500919,20270624,2
500919,20270706,2
500919,20261101,2
500919,20261102,2
500919,20261224,2
500919,20261225,2
500919,20261226,2
500920,20270406,1
500920,20270101,1
500920,20270216,1
500920,20270311,1
500920,20270501,1
500920,20270624,1
500920,20270706,1
500920,20261101,1
500920,20261102,1
500920,20261224,1
500920,20261225,1
500920,20261226,1
499082,20270406,2
499082,20270101,2
499082,20270216,2
499082,20270311,2
499082,20270501,2
499082,20270624,2
499082,20270706,2
499082,20261101,2
499082,20261102,2
499082,20261224,2
499082,20261225,2
499082,20261226,2
499083,20270406,1
499083,20270101,1
499083,20270216,1
499083,20270311,1
499083,20270501,1
499083,20270624,1
499083,20270706,1
499083,20261101,1
499083,20261102,1
499083,20261224,1
499083,20261225,1
499083,20261226,1
500939,20270406,2
500939,20270101,2
500939,20270216,2
500939,20270311,2
500939,20270501,2
500939,20270624,2
500939,20270706,2
500939,20261101,2
500939,20261102,2
500939,20261224,2
500939,20261225,2
500939,20261226,2
500940,20270406,1
500940,20270101,1
500940,20270216,1
500940,20270311,1
500940,20270501,1
500940,20270624,1
500940,20270706,1
500940,20261101,1
500940,20261102,1
500940,20261224,1
500940,20261225,1
500940,20261226,1
498993,20270406,2
498993,20270101,2
498993,20270216,2
498993,20270311,2
498993,20270501,2
498993,20270624,2
498993,20270706,2
498993,20261101,2
498993,20261102,2
498993,20261224,2
498993,20261225,2
498993,20261226,2
498994,20270406,1
498994,20270101,1
498994,20270216,1
498994,20270311,1
498994,20270501,1
498994,20270624,1
498994,20270706,1
498994,20261101,1
498994,20261102,1
498994,20261224,1
498994,20261225,1
498994,20261226,1
498995,20270406,2
498995,20270101,2
498995,20270216,2
498995,20270311,2
498995,20270501,2
498995,20270624,2
498995,20270706,2
498995,20261101,2
498995,20261102,2
498995,20261224,2
498995,20261225,2
498995,20261226,2
498996,20270406,1
498996,20270101,1
498996,20270216,1
498996,20270311,1
498996,20270501,1
498996,20270624,1
498996,20270706,1
498996,20261101,1
498996,20261102,1
498996,20261224,1
498996,20261225,1
498996,20261226,1
505778,20270406,2
505778,20270101,2
505778,20270216,2
505778,20270311,2
505778,20270501,2
505778,20270624,2
505778,20270706,2
505778,20261101,2
505778,20261102,2
505778,20261224,2
505778,20261225,2
505778,20261226,2
505779,20270406,1
505779,20270101,1
505779,20270216,1
505779,20270311,1
505779,20270501,1
505779,20270624,1
505779,20270706,1
505779,20261101,1
505779,20261102,1
505779,20261224,1
505779,20261225,1
505779,20261226,1
502335,20270406,2
502335,20270101,2
502335,20270216,2
502335,20270311,2
502335,20270501,2
502335,20270624,2
502335,20270706,2
502335,20261101,2
502335,20261102,2
502335,20261224,2
502335,20261225,2
502335,20261226,2
502336,20270406,1
502336,20270101,1
502336,20270216,1
502336,20270311,1
502336,20270501,1
502336,20270624,1
502336,20270706,1
502336,20261101,1
502336,20261102,1
502336,20261224,1
502336,20261225,1
502336,20261226,1
501753,20270406,2
501753,20270101,2
501753,20270216,2
501753,20270311,2
501753,20270501,2
501753,20270624,2
501753,20270706,2
501753,20261101,2
501753,20261102,2
501753,20261224,2
501753,20261225,2
501753,20261226,2
499000,20270406,1
499000,20270101,1
499000,20270216,1
499000,20270311,1
499000,20270501,1
499000,20270624,1
499000,20270706,1
499000,20261101,1
499000,20261102,1
499000,20261224,1
499000,20261225,1
499000,20261226,1
501754,20270406,2
501754,20270101,2
501754,20270216,2
501754,20270311,2
501754,20270501,2
501754,20270624,2
501754,20270706,2
501754,20261101,2
501754,20261102,2
501754,20261224,2
501754,20261225,2
501754,20261226,2
504519,20270406,2
504519,20270101,2
504519,20270216,2
504519,20270311,2
504519,20270501,2
504519,20270624,2
504519,20270706,2
504519,20261101,2
504519,20261102,2
504519,20261224,2
504519,20261225,2
504519,20261226,2
504520,20270406,1
504520,20270101,1
504520,20270216,1
504520,20270311,1
504520,20270501,1
504520,20270624,1
504520,20270706,1
504520,20261101,1
504520,20261102,1
504520,20261224,1
504520,20261225,1
504520,20261226,1
498802,20270406,2
498802,20270101,2
498802,20270216,2
498802,20270311,2
498802,20270501,2
498802,20270624,2
498802,20270706,2
498802,20261101,2
498802,20261102,2
498802,20261224,2
498802,20261225,2
498802,20261226,2
498803,20270406,1
498803,20270101,1
498803,20270216,1
498803,20270311,1
498803,20270501,1
498803,20270624,1
498803,20270706,1
498803,20261101,1
498803,20261102,1
498803,20261224,1
498803,20261225,1
498803,20261226,1
498804,20270406,2
498804,20270101,2
498804,20270216,2
498804,20270311,2
498804,20270501,2
498804,20270624,2
498804,20270706,2
498804,20261101,2
498804,20261102,2
498804,20261224,2
498804,20261225,2
498804,20261226,2
498805,20270406,1
498805,20270101,1
498805,20270216,1
498805,20270311,1
498805,20270501,1
498805,20270624,1
498805,20270706,1
498805,20261101,1
498805,20261102,1
498805,20261224,1
498805,20261225,1
498805,20261226,1
499002,20270406,1
499002,20270101,1
499002,20270216,1
499002,20270311,1
499002,20270501,1
499002,20270624,1
499002,20270706,1
499002,20261101,1
499002,20261102,1
499002,20261224,1
499002,20261225,1
499002,20261226,1
499003,20270406,2
499003,20270101,2
499003,20270216,2
499003,20270311,2
499003,20270501,2
499003,20270624,2
499003,20270706,2
499003,20261101,2
499003,20261102,2
499003,20261224,2
499003,20261225,2
499003,20261226,2
499004,20270406,1
499004,20270101,1
499004,20270216,1
499004,20270311,1
499004,20270501,1
499004,20270624,1
499004,20270706,1
499004,20261101,1
499004,20261102,1
499004,20261224,1
499004,20261225,1
499004,20261226,1
499005,20270406,2
499005,20270101,2
499005,20270216,2
499005,20270311,2
499005,20270501,2
499005,20270624,2
499005,20270706,2
499005,20261101,2
499005,20261102,2
499005,20261224,2
499005,20261225,2
499005,20261226,2
499006,20270406,1
499006,20270101,1
499006,20270216,1
499006,20270311,1
499006,20270501,1
499006,20270624,1
499006,20270706,1
499006,20261101,1
499006,20261102,1
499006,20261224,1
499006,20261225,1
499006,20261226,1
499007,20270406,2
499007,20270101,2
499007,20270216,2
499007,20270311,2
499007,20270501,2
499007,20270624,2
499007,20270706,2
499007,20261101,2
499007,20261102,2
499007,20261224,2
499007,20261225,2
499007,20261226,2
499008,20270406,1
499008,20270101,1
499008,20270216,1
499008,20270311,1
499008,20270501,1
499008,20270624,1
499008,20270706,1
499008,20261101,1
499008,20261102,1
499008,20261224,1
499008,20261225,1
499008,20261226,1
498806,20270406,2
498806,20270101,2
498806,20270216,2
498806,20270311,2
498806,20270501,2
498806,20270624,2
498806,20270706,2
498806,20261101,2
498806,20261102,2
498806,20261224,2
498806,20261225,2
498806,20261226,2
498807,20270406,1
498807,20270101,1
498807,20270216,1
498807,20270311,1
498807,20270501,1
498807,20270624,1
498807,20270706,1
498807,20261101,1
498807,20261102,1
498807,20261224,1
498807,20261225,1
498807,20261226,1
504157,20270406,2
504157,20270101,2
504157,20270216,2
504157,20270311,2
504157,20270501,2
504157,20270624,2
504157,20270706,2
504157,20261101,2
504157,20261102,2
504157,20261224,2
504157,20261225,2
504157,20261226,2
504158,20270406,1
504158,20270101,1
504158,20270216,1
504158,20270311,1
504158,20270501,1
504158,20270624,1
504158,20270706,1
504158,20261101,1
504158,20261102,1
504158,20261224,1
504158,20261225,1
504158,20261226,1
498837,20270406,2
498837,20270101,2
498837,20270216,2
498837,20270311,2
498837,20270501,2
498837,20270624,2
498837,20270706,2
498837,20261101,2
498837,20261102,2
498837,20261224,2
498837,20261225,2
498837,20261226,2
498838,20270406,1
498838,20270101,1
498838,20270216,1
498838,20270311,1
498838,20270501,1
498838,20270624,1
498838,20270706,1
498838,20261101,1
498838,20261102,1
498838,20261224,1
498838,20261225,1
498838,20261226,1
499009,20270406,2
499009,20270101,2
499009,20270216,2
499009,20270311,2
499009,20270501,2
499009,20270624,2
499009,20270706,2
499009,20261101,2
499009,20261102,2
499009,20261224,2
499009,20261225,2
499009,20261226,2
499010,20270406,1
499010,20270101,1
499010,20270216,1
499010,20270311,1
499010,20270501,1
499010,20270624,1
499010,20270706,1
499010,20261101,1
499010,20261102,1
499010,20261224,1
499010,20261225,1
499010,20261226,1
499011,20270406,2
499011,20270101,2
499011,20270216,2
499011,20270311,2
499011,20270501,2
499011,20270624,2
499011,20270706,2
499011,20261101,2
499011,20261102,2
499011,20261224,2
499011,20261225,2
499011,20261226,2
499012,20270406,1
499012,20270101,1
499012,20270216,1
499012,20270311,1
499012,20270501,1
499012,20270624,1
499012,20270706,1
499012,20261101,1
499012,20261102,1
499012,20261224,1
499012,20261225,1
499012,20261226,1
504757,20270406,2
504757,20270101,2
504757,20270216,2
504757,20270311,2
504757,20270501,2
504757,20270624,2
504757,20270706,2
504757,20261101,2
504757,20261102,2
504757,20261224,2
504757,20261225,2
504757,20261226,2
504517,20270406,1
504517,20270101,1
504517,20270216,1
504517,20270311,1
504517,20270501,1
504517,20270624,1
504517,20270706,1
504517,20261101,1
504517,20261102,1
504517,20261224,1
504517,20261225,1
504517,20261226,1
499013,20270406,2
499013,20270101,2
499013,20270216,2
499013,20270311,2
499013,20270501,2
499013,20270624,2
499013,20270706,2
499013,20261101,2
499013,20261102,2
499013,20261224,2
499013,20261225,2
499013,20261226,2
499014,20270406,1
499014,20270101,1
499014,20270216,1
499014,20270311,1
499014,20270501,1
499014,20270624,1
499014,20270706,1
499014,20261101,1
499014,20261102,1
499014,20261224,1
499014,20261225,1
499014,20261226,1
476335,20261101,2
476335,20261102,2
498810,20270406,2
498810,20270101,2
498810,20270216,2
498810,20270311,2
498810,20270501,2
498810,20270624,2
498810,20270706,2
498810,20261101,2
498810,20261102,2
498810,20261224,2
498810,20261225,2
498810,20261226,2
498811,20270406,1
498811,20270101,1
498811,20270216,1
498811,20270311,1
498811,20270501,1
498811,20270624,1
498811,20270706,1
498811,20261101,1
498811,20261102,1
498811,20261224,1
498811,20261225,1
498811,20261226,1
504642,20270406,2
504642,20270101,2
504642,20270216,2
504642,20270311,2
504642,20270501,2
504642,20270624,2
504642,20270706,2
504642,20261101,2
504642,20261102,2
504642,20261224,2
504642,20261225,2
504642,20261226,2
504643,20270406,1
504643,20270101,1
504643,20270216,1
504643,20270311,1
504643,20270501,1
504643,20270624,1
504643,20270706,1
504643,20261101,1
504643,20261102,1
504643,20261224,1
504643,20261225,1
504643,20261226,1
498839,20270406,2
498839,20270101,2
498839,20270216,2
498839,20270311,2
498839,20270501,2
498839,20270624,2
498839,20270706,2
498839,20261101,2
498839,20261102,2
498839,20261224,2
498839,20261225,2
498839,20261226,2
498840,20270406,1
498840,20270101,1
498840,20270216,1
498840,20270311,1
498840,20270501,1
498840,20270624,1
498840,20270706,1
498840,20261101,1
498840,20261102,1
498840,20261224,1
