route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_ferry_L1,508000,AL1-01-1-260901-ab-0820,"Verslo trikampis",0,AL1-01-1-260901-2724429,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-02-1-260901-ab-0900,"Verslo trikampis",0,AL1-02-1-260901-2724430,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-03-1-260901-ab-0940,"Verslo trikampis",0,AL1-03-1-260901-2724431,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-04-1-260901-ab-1020,"Verslo trikampis",0,AL1-04-1-260901-2724432,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-01-1-260901-ab-1100,"Verslo trikampis",0,AL1-01-1-260901-2724429,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-02-1-260901-ab-1140,"Verslo trikampis",0,AL1-02-1-260901-2724430,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-03-1-260901-ab-1220,"Verslo trikampis",0,AL1-03-1-260901-2724431,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-04-1-260901-ab-1300,"Verslo trikampis",0,AL1-04-1-260901-2724432,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-01-1-260901-ab-1410,"Verslo trikampis",0,AL1-01-1-260901-2724429,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,508000,AL1-02-1-260901-ab-1450,"Verslo trikampis",0,AL1-02-1-260901-2724430,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
