area_id,stop_id
Silo,19016
Zygio,18780
Antakalnioz,1017
Antakalnioz,5483
Antakalnioz,5485
Silo,5092
Silo,5818
Antakalnioz,741
Antakalnioz,5117
Silo,5091
Silo,17239
jasinskio,474
jasinskio,5774
Islandijos,5459
jasinskio,5881
jasinskio,5937
PamJTV,5936
PamJTV,6736
Islandijos,5334
PamJTV,5332
Islandijos,5338
PamJTV,5264
Islandijos,18690
Rygos,5137
Pauksciu,4395
Lazdynai,6317
Lazdynai,6318
Lazdynai,6461
Lazdynai,6648
Pauksciu,6460
Pauksciu,6462
Pauksciu,16703
Stotis,3590
Stotis,3617
Stotis,4266
Stotis,5156
Stotis,7914
Stotis,5300
Stotis,939
MKC,5524
MKC,6840
Vienaragiu,5166
Vienaragiu,5167
Stotis,3616
Stotis,4267
Stotis,7573
MKC,5266
Vienaragiu,5168
Vienaragiu,7851
MKC,683
MKC,5267
Stotis,8262
Stotis,8264
Skalviu,7603
Skalviu,6931
PetroPovilo,6565
PetroPovilo,6566
PetroPovilo,5768
PetroPovilo,5770
Rygos,855
Rygos,5067
Rygos,6477
Zalgirio,6844
Pramogu,5481
Pramogu,5861
Zalgirio,5467
Zalgirio,6788
Zalgirio,5498
Sietyno,4990
Sietyno,5643
Sietyno,4991
Sietyno,7342
Kareiviu,5125
Kareiviu,6873
Pramogu,5128
Pramogu,6846
Pramogu,5131
Zalgirio,7691
Zygio,18847
Kareiviu,18517
Zygio,7331
Zygio,6542
