service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,info
508000,1,1,1,1,1,1,1,20260901,20270901,""
465819,0,0,0,0,1,1,0,20250901,20270901,""
465824,0,0,0,0,1,1,0,20250901,20270901,""
496593,0,0,0,0,1,1,0,20260605,20270901,""
508409,0,0,0,0,1,1,0,20260904,20270901,""
507997,0,0,0,0,1,1,0,20260901,20270901,""
503709,0,0,0,0,1,1,0,20260731,20270901,""
496359,0,0,0,0,1,1,0,20260603,20270901,""
501742,0,0,0,0,1,1,0,20260714,20270901,""
488816,1,1,1,1,0,0,1,20260323,20270901,""
477032,0,0,0,0,1,1,0,20251205,20270901,""
507434,1,1,1,1,1,0,0,20260901,20270901,""
507435,0,0,0,0,0,1,1,20260901,20270901,""
508125,1,1,1,1,1,0,0,20260901,20270901,""
508126,0,0,0,0,0,1,1,20260901,20270901,""
507797,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507796,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507800,1,1,1,1,1,0,0,20260901,20270901,"2 var."
508549,1,1,1,1,1,0,0,20260907,20270901,""
507885,0,0,0,0,0,1,0,20260901,20270901,"1 var."
507886,0,0,0,0,0,0,1,20260901,20270901,"1 var."
507798,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507799,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507887,1,1,1,1,1,0,0,20260901,20270901,""
507888,0,0,0,0,0,1,1,20260901,20270901,""
507790,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507791,0,0,0,0,0,1,1,20260901,20270901,"2 var."
507801,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507432,1,1,1,1,1,0,0,20260901,20270901,""
507433,0,0,0,0,0,1,1,20260901,20270901,""
507803,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507802,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507792,1,1,1,1,1,0,0,20260901,20270901,""
507793,0,0,0,0,0,1,1,20260901,20270901,""
507794,1,1,1,1,1,0,0,20260901,20270901,""
507795,0,0,0,0,0,1,1,20260901,20270901,""
507436,1,1,1,1,1,0,0,20260901,20270901,""
507437,0,0,0,0,0,1,1,20260901,20270901,""
507804,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507805,0,0,0,0,0,1,1,20260901,20270901,"2 var."
507807,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507806,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507808,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507809,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507438,1,1,1,1,1,0,0,20260901,20270901,""
507439,0,0,0,0,0,1,1,20260901,20270901,""
507810,1,1,1,1,1,0,0,20260901,20270901,""
507811,0,0,0,0,0,1,1,20260901,20270901,""
507812,1,1,1,1,1,0,0,20260901,20270901,""
507440,1,1,1,1,1,0,0,20260901,20270901,""
507441,0,0,0,0,0,1,1,20260901,20270901,""
507442,1,1,1,1,1,0,0,20260901,20270901,""
507443,0,0,0,0,0,1,1,20260901,20270901,""
507444,1,1,1,1,1,0,0,20260901,20270901,""
507445,0,0,0,0,0,1,1,20260901,20270901,""
507813,0,0,0,0,0,1,1,20260901,20270901,""
507814,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507815,0,0,0,0,0,1,1,20260901,20270901,"2 var."
507817,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507816,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507881,0,0,0,0,0,1,1,20260901,20270901,"2 var."
507880,1,1,1,1,1,0,0,20260901,20270901,"3 var."
507446,1,1,1,1,1,0,0,20260901,20270901,""
507447,0,0,0,0,0,1,1,20260901,20270901,""
507998,1,1,1,1,1,0,0,20260901,20270901,""
507999,0,0,0,0,0,1,1,20260901,20270901,""
507515,0,0,0,0,0,1,1,20260901,20270901,""
507514,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507818,1,1,1,1,1,0,0,20260901,20270901,"2 var."
507819,0,0,0,0,0,1,1,20260901,20270901,"2 var."
507820,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507821,0,0,0,0,0,1,1,20260901,20270901,"1 var."
507448,1,1,1,1,1,0,0,20260901,20270901,""
507449,0,0,0,0,0,1,1,20260901,20270901,""
507822,1,1,1,1,1,0,0,20260901,20270901,"1 var."
507823,0,0,0,0,0,1,1,20260901,20270901,"1 var."
476335,1,1,1,1,1,0,0,20251201,20261207,""
507450,1,1,1,1,1,0,0,20260901,20270901,""
