service_id,date,exception_type
508409,20270406,1
508409,20270101,1
508409,20270216,1
508409,20270311,1
508409,20270501,1
508409,20270624,1
508409,20270706,1
508409,20270815,1
508409,20261101,1
508409,20261102,1
508409,20261224,1
508409,20261225,1
508409,20261226,1
507997,20270406,1
507997,20270101,1
507997,20270216,1
507997,20270311,1
507997,20270501,1
507997,20270624,1
507997,20270706,1
507997,20270815,1
507997,20261101,1
507997,20261102,1
507997,20261224,1
507997,20261225,1
507997,20261226,1
507434,20270406,2
507434,20270101,2
507434,20270216,2
507434,20270311,2
507434,20270501,2
507434,20270624,2
507434,20270706,2
507434,20270815,2
507434,20261101,2
507434,20261102,2
507434,20261224,2
507434,20261225,2
507434,20261226,2
507435,20270406,1
507435,20270101,1
507435,20270216,1
507435,20270311,1
507435,20270501,1
507435,20270624,1
507435,20270706,1
507435,20270815,1
507435,20261101,1
507435,20261102,1
507435,20261224,1
507435,20261225,1
507435,20261226,1
508125,20270406,2
508125,20270101,2
508125,20270216,2
508125,20270311,2
508125,20270501,2
508125,20270624,2
508125,20270706,2
508125,20270815,2
508125,20261101,2
508125,20261102,2
508125,20261224,2
508125,20261225,2
508125,20261226,2
508126,20270406,1
508126,20270101,1
508126,20270216,1
508126,20270311,1
508126,20270501,1
508126,20270624,1
508126,20270706,1
508126,20270815,1
508126,20261101,1
508126,20261102,1
508126,20261224,1
508126,20261225,1
508126,20261226,1
507797,20270406,1
507797,20270101,1
507797,20270216,1
507797,20270311,1
507797,20270501,1
507797,20270624,1
507797,20270706,1
507797,20270815,1
507797,20261101,1
507797,20261102,1
507797,20261224,1
507797,20261225,1
507797,20261226,1
507796,20270406,2
507796,20270101,2
507796,20270216,2
507796,20270311,2
507796,20270501,2
507796,20270624,2
507796,20270706,2
507796,20270815,2
507796,20261101,2
507796,20261102,2
507796,20261224,2
507796,20261225,2
507796,20261226,2
507800,20270406,2
507800,20270101,2
507800,20270216,2
507800,20270311,2
507800,20270501,2
507800,20270624,2
507800,20270706,2
