stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
9483,,"1-asis Lentvaris","iš miesto",54.64437,25.06552,https://www.stops.lt/vilnius/index.html#stop/3906,,,
19135,,"Alėja","link stoties",54.67308,25.39092,https://www.stops.lt/vilnius/index.html#stop/1413a,,,
19200,,"Alėja","link N.Vilnios",54.67299,25.39042,https://www.stops.lt/vilnius/index.html#stop/1414a,,,
18938,,"Bagušių st.","link stoties",54.66876,25.38099,https://www.stops.lt/vilnius/index.html#stop/1442,,,
19206,,"Bagušių st.","link N.Vilnios",54.66912,25.38151,https://www.stops.lt/vilnius/index.html#stop/1441,,,
9102,,"Bijūnų st.","link žiedo",54.66740,25.21588,https://www.stops.lt/vilnius/index.html#stop/1631,,,
18075,,"Bratoniškės","link miesto",54.84986,25.37356,https://www.stops.lt/vilnius/index.html#stop/3008regio,,,
16291,,"Geležinio Vilko st.","",54.75762,25.27183,https://www.stops.lt/vilnius/index.html#stop/2145,,,
16295,,"Geležinio Vilko st.","",54.75848,25.27229,https://www.stops.lt/vilnius/index.html#stop/2146,,,
18787,,"Grūdų st.","link N.Vilnios",54.66767,25.35943,https://www.stops.lt/vilnius/index.html#stop/1408a,,,
19105,,"Grūšiakalnio st.","",54.78055,25.37009,https://www.stops.lt/vilnius/index.html#stop/2167,,,
18983,,"Įtraukties centras","link miesto",54.67521,25.37420,https://www.stops.lt/vilnius/index.html#stop/1411a,,,
19204,,"Įtraukties centras","link N.Vilnios",54.67541,25.37428,https://www.stops.lt/vilnius/index.html#stop/1412a,,,
8258,,"Kaimelio žiedas","išlaipinimas",54.73141,25.24430,https://www.stops.lt/vilnius/index.html#stop/3890,,,
18884,,"Kazio Bizausko st.","iš stoties",54.67364,25.39850,https://www.stops.lt/vilnius/index.html#stop/1400,,,
18891,,"Kazio Bizausko st.","link stoties",54.67322,25.39773,https://www.stops.lt/vilnius/index.html#stop/1399,,,
